LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_10/year_1992.img , cls_2 , 11443194.9840 ,   32755.0000 ,       0.0442
I:/Project/BHLU/ReclassTo3/FID_10/year_1992.img , cls_3 ,   35792.0034 ,     605.0000 ,       0.0008
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_1 , 61910172.9139 ,    7358.0000 ,       0.0099
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_2 , 11973510.9911 ,   32049.0000 ,       0.0433
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_3 ,  161962.0812 ,    2341.0000 ,       0.0032
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_1 , 158277888.7822 ,    6626.0000 ,       0.0040
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_2 , 7529751.4937 ,   22453.0000 ,       0.0135
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_3 ,   84854.8233 ,    1417.0000 ,       0.0009
I:/Project/BHLU/ReclassTo3/FID_11/year_2015.img , cls_1 , 157973258.2064 ,    6845.0000 ,       0.0041
I:/Project/BHLU/ReclassTo3/FID_11/year_2015.img , cls_3 ,  183967.9251 ,    2015.0000 ,       0.0012
I:/Project/BHLU/ReclassTo3/FID_11/year_2015.img , cls_2 , 7735268.9678 ,   21980.0000 ,       0.0132
I:/Project/BHLU/ReclassTo3/FID_12/year_1992.img , cls_1 , 151550568.0583 ,   49268.0000 ,       0.0208
I:/Project/BHLU/ReclassTo3/FID_12/year_1992.img , cls_2 , 84111479.6354 ,   82248.0000 ,       0.0348
I:/Project/BHLU/ReclassTo3/FID_12/year_1992.img , cls_3 ,  744568.3152 ,    9052.0000 ,       0.0038
I:/Project/BHLU/ReclassTo3/FID_12/year_2015.img , cls_1 , 147110139.8175 ,   54463.0000 ,       0.0230
I:/Project/BHLU/ReclassTo3/FID_12/year_2015.img , cls_2 , 87180445.0036 ,   80182.0000 ,       0.0339
I:/Project/BHLU/ReclassTo3/FID_12/year_2015.img , cls_3 , 2116031.1878 ,   23003.0000 ,       0.0097
I:/Project/BHLU/ReclassTo3/FID_13/year_1992.img , cls_1 , 52646775.6727 ,   30818.0000 ,       0.0343
I:/Project/BHLU/ReclassTo3/FID_13/year_1992.img , cls_2 , 37103042.8943 ,   43813.0000 ,       0.0487
I:/Project/BHLU/ReclassTo3/FID_13/year_1992.img , cls_3 ,  220585.3874 ,    2697.0000 ,       0.0030
I:/Project/BHLU/ReclassTo3/FID_13/year_2015.img , cls_1 , 50490699.0861 ,   33673.0000 ,       0.0374
I:/Project/BHLU/ReclassTo3/FID_13/year_2015.img , cls_2 , 38981501.5319 ,   40439.0000 ,       0.0449
I:/Project/BHLU/ReclassTo3/FID_13/year_2015.img , cls_3 ,  498203.3364 ,    5365.0000 ,       0.0060
I:/Project/BHLU/ReclassTo3/FID_14/year_1992.img , cls_2 , 7763238.6285 ,   17637.0000 ,       0.0473
I:/Project/BHLU/ReclassTo3/FID_14/year_1992.img , cls_1 , 28334819.3400 ,    7728.0000 ,       0.0207
I:/Project/BHLU/ReclassTo3/FID_14/year_1992.img , cls_3 , 1197809.8706 ,    6408.0000 ,       0.0172
I:/Project/BHLU/ReclassTo3/FID_14/year_2015.img , cls_2 , 7309308.6914 ,   19110.0000 ,       0.0512
